Date,Open,High,Low,Close,Volume,Market_Trend,Año,Rendimiento_%,Volatilidad,Media_Movil_6M,Epoca
2013-07-01,1235.51,1346.68,1208.14,1325.06,4424856.0,BAJISTA,2013,7.248019036673112,138.53999999999996,1433.3733333333332,2. Recuperación (2012-2019)
2013-08-01,1324.21,1433.73,1272.8,1394.81,4355163.0,BAJISTA,2013,5.33148065639135,160.93000000000006,1402.51,2. Recuperación (2012-2019)
2013-09-01,1391.41,1397.75,1291.79,1328.65,3968812.0,ALCISTA,2013,-4.51053248143969,105.96000000000004,1357.935,2. Recuperación (2012-2019)
2013-10-01,1327.47,1361.77,1251.67,1322.87,3276556.0,BAJISTA,2013,-0.3465238385801665,110.09999999999991,1332.315,2. Recuperación (2012-2019)
2013-11-01,1323.33,1327.45,1226.77,1252.92,1352094.0,ALCISTA,2013,-5.320668314025969,100.68000000000006,1309.8616666666667,2. Recuperación (2012-2019)
2013-12-01,1249.5,1267.76,1182.42,1248.385,1414428.0,ALCISTA,2013,-0.08923569427771182,85.33999999999992,1312.1158333333333,2. Recuperación (2012-2019)
2014-01-01,1225.12,1278.93,1213.57,1243.85,1344662.0,DESCONOCIDO,2014,1.5288298289147202,65.36000000000013,1298.5808333333332,2. Recuperación (2012-2019)
2014-02-01,1243.65,1345.32,1240.76,1326.21,1256516.0,ALCISTA,2014,6.638523700398018,104.55999999999995,1287.1475,2. Recuperación (2012-2019)
2014-03-01,1335.44,1388.91,1282.38,1283.82,1402563.0,ALCISTA,2014,-3.865392679566294,106.52999999999997,1279.6758333333332,2. Recuperación (2012-2019)
2014-04-01,1284.67,1331.04,1268.41,1291.08,1267161.0,ALCISTA,2014,0.4989608226236975,62.62999999999988,1274.3774999999998,2. Recuperación (2012-2019)
2014-05-01,1291.3,1315.55,1242.15,1249.23,1311430.0,DESCONOCIDO,2014,-3.25795709749864,73.39999999999986,1273.7625,2. Recuperación (2012-2019)
2014-06-01,1249.56,1329.34,1240.56,1327.17,1168137.0,ALCISTA,2014,6.210986267166053,88.77999999999997,1286.8933333333334,2. Recuperación (2012-2019)
2014-07-01,1326.64,1345.05,1280.48,1282.96,1138353.0,BAJISTA,2014,-3.2925284930350407,64.56999999999994,1293.4116666666666,2. Recuperación (2012-2019)
2014-08-01,1283.12,1322.53,1272.61,1286.66,1150035.0,,2014,0.27589001808094266,49.92000000000007,1286.82,2. Recuperación (2012-2019)
2014-09-01,1287.47,1289.71,1204.31,1207.83,1411871.0,BAJISTA,2014,-6.1857752025289985,85.40000000000009,1274.155,2. Recuperación (2012-2019)
2014-10-01,1208.21,1255.13,1161.42,1171.52,1481917.0,BAJISTA,2014,-3.036723748355009,93.71000000000004,1254.2283333333335,2. Recuperación (2012-2019)
2014-11-01,1167.31,1207.63,1131.44,1179.175,1498958.0,BAJISTA,2014,1.016439506215145,76.19000000000005,1242.5525,2. Recuperación (2012-2019)
2014-12-01,1158.49,1238.25,1141.74,1186.83,1921429.0,,2014,2.446287840205778,96.50999999999999,1219.1625,2. Recuperación (2012-2019)
2015-01-01,1186.94,1307.53,1167.33,1283.56,1760930.0,BAJISTA,2015,8.140259827792464,140.20000000000005,1219.2625,2. Recuperación (2012-2019)
2015-02-01,1280.42,1285.55,1190.3,1212.78,1436393.0,DESCONOCIDO,2015,-5.2826416332141095,95.25,1206.9491666666665,2. Recuperación (2012-2019)
2015-03-01,1213.85,1223.18,1142.7,1183.57,1526229.0,DESCONOCIDO,2015,-2.4945421592453743,80.48000000000002,1202.9058333333332,2. Recuperación (2012-2019)
